Name                                                 Type                Forward_MACs    FPercent    Memory      MPercent    Params    PPercent    InShape      OutShape
/bga/Mul_1                                           Mul                 960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/bga/up2/Constant                                    Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/bga/up2/Constant_1                                  Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/bga/up2/Resize                                      Resize              0               0.00%       61,440      0.56%       0         0.00%       1x64x5x3     1x64x20x12
/bga/Add                                             Add                 15,360          0.01%       61,440      0.56%       0         0.00%       1x64x20x12   1x64x20x12
/bga/conv/conv.0/Conv                                Conv                8,862,720       6.81%       209,152     1.91%       36,928    4.21%       1x64x20x12   1x64x20x12
/bga/conv/conv.2/Relu                                Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x64x20x12   1x64x20x12
/head/conv/conv/Conv                                 Conv                35,450,880      27.23%      836,608     7.64%       147,712   16.85%      1x64x20x12   1x256x20x12
/head/conv/relu/Relu                                 Relu                61,440          0.05%       245,760     2.24%       0         0.00%       1x256x20x12  1x256x20x12
/head/conv_out/conv_out.1/Conv                       Conv                123,360         0.09%       3,976       0.04%       514       0.06%       1x256x20x12  1x2x20x12
/head/conv_out/conv_out.2/Constant                   Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/head/conv_out/conv_out.2/Constant_1                 Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/head/conv_out/conv_out.2/Resize                     Resize              122,880         0.09%       122,880     1.12%       0         0.00%       1x2x20x12    1x2x160x96
/aux2/conv/conv/Conv                                 Conv                4,485,120       3.45%       264,448     2.42%       4,672     0.53%       1x8x40x24    1x64x40x24
/aux2/conv/relu/Relu                                 Relu                61,440          0.05%       245,760     2.24%       0         0.00%       1x64x40x24   1x64x40x24
/aux2/conv_out/conv_out.0/conv_out.0.0/Constant      Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/aux2/conv_out/conv_out.0/conv_out.0.0/Constant_1    Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/aux2/conv_out/conv_out.0/conv_out.0.0/Resize        Resize              0               0.00%       983,040     8.98%       0         0.00%       1x64x40x24   1x64x80x48
/aux2/conv_out/conv_out.0/conv_out.0.1/conv/Conv     Conv                8,862,720       6.81%       70,672      0.65%       2,308     0.26%       1x64x80x48   1x4x80x48
/aux2/conv_out/conv_out.0/conv_out.0.1/relu/Relu     Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x4x80x48    1x4x80x48
/aux2/conv_out/conv_out.1/Conv                       Conv                38,400          0.03%       30,760      0.28%       10        0.00%       1x4x80x48    1x2x80x48
